région,Code Insee,Commune,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,22004, BEGARD,48.633333,-3.3,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,22011, BOQUEHO,48.483333,-2.966667,1,1,1,1,0,1,1,1,1,0,0,0,0,-1,0,0,0,-1
BRETAGNE,22020, BROONS,48.316667,-2.266667,0,0,1,1,1,0,0,1,2,2,0,1,1,1,0,1,2,2
BRETAGNE,22025, CALLAC,48.441667,-3.483333,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BRETAGNE,22035, CHAMPS-GERAUX,48.416667,-1.966667,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,22050, DINAN,48.55,-2.216667,3,3,3,4,4,58,57,51,53,52,0,0,1,1,-1,-7,-5,-6
BRETAGNE,22051, DOLO,48.383333,-2.333333,1,1,1,1,2,10,7,9,9,9,0,0,0,1,-3,-1,-1,-1
BRETAGNE,22054, ERQUY,48.633333,-2.466667,1,1,1,1,1,3,4,3,3,4,0,0,0,0,1,0,0,1
BRETAGNE,22063, GOMMENEC'H,48.65,-3.05,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,-1
BRETAGNE,22070, GUINGAMP,48.55,-3.15,4,4,4,4,4,24,22,19,20,19,0,0,0,0,-2,-5,-4,-5
BRETAGNE,22081, HILLION,48.516667,-2.683333,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2
BRETAGNE,22084, JUGON-LES-LACS,48.15,-2.35,1,1,1,1,1,43,51,46,45,48,0,0,0,0,8,3,2,5
BRETAGNE,22093, LAMBALLE,48.466667,-2.516667,4,5,4,5,5,16,18,17,13,13,1,0,1,1,2,1,-3,-3
BRETAGNE,22106, LANGUEUX,48.5,-2.716667,7,7,6,6,6,34,35,32,46,41,0,-1,-1,-1,1,-2,12,7
BRETAGNE,22108, LANLEFF,48.7,-3.05,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,22113, LANNION,48.733333,-3.466667,51,55,55,55,56,2798,2659,2565,2499,2427,4,4,4,5,-139,-233,-299,-371
BRETAGNE,22118, LANVALLAY,48.45,-2.033333,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
BRETAGNE,22126, LESLAY,48.433333,-2.966667,1,1,1,1,0,5,8,2,1,0,0,0,0,-1,3,-3,-4,-5
BRETAGNE,22127, LEZARDRIEUX,48.766667,-3.1,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,22136, LOUDEAC,48.166667,-2.75,1,1,1,1,1,4,4,5,5,5,0,0,0,0,0,1,1,1
BRETAGNE,22146, MELLIONNEC,48.166667,-3.3,0,0,1,1,1,0,0,1,2,1,0,1,1,1,0,1,2,1
BRETAGNE,22156, MOUSTERU,48.516667,-3.233333,1,1,1,1,1,2,2,3,2,2,0,0,0,0,0,1,0,0
BRETAGNE,22158, MUR-DE-BRETAGNE,48.2,-2.983333,1,1,1,0,1,2,3,1,0,1,0,0,-1,0,1,-1,-2,-1
BRETAGNE,22162, PAIMPOL,48.766667,-3.05,2,2,2,2,2,5,6,6,5,5,0,0,0,0,1,1,0,0
BRETAGNE,22164, PEDERNEC,48.6,-3.283333,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,-1
BRETAGNE,22166, PENVENAN,48.833333,-3.366667,2,2,2,2,1,4,4,3,2,1,0,0,0,-1,0,-1,-2,-3
BRETAGNE,22168, PERROS-GUIREC,48.816667,-3.45,3,3,2,2,2,24,20,21,19,18,0,-1,-1,-1,-4,-3,-5,-6
BRETAGNE,22176, PLEDRAN,48.45,-2.75,3,2,2,2,2,21,20,19,22,23,-1,-1,-1,-1,-1,-2,1,2
BRETAGNE,22179, FREHEL,48.7,-3,1,1,0,0,0,4,3,0,0,0,0,-1,-1,-1,-1,-4,-4,-4
BRETAGNE,22186, PLENEUF-VAL-ANDRE,48.6,-2.55,1,1,1,1,1,2,4,4,3,1,0,0,0,0,2,2,1,-1
BRETAGNE,22187, PLERIN,48.533333,-2.783333,11,9,8,10,8,289,336,282,229,157,-2,-3,-1,-3,47,-7,-60,-132
BRETAGNE,22194, PLESTIN-LES-GREVES,48.65,-3.633333,2,1,1,1,3,3,1,1,1,4,-1,-1,-1,1,-2,-2,-2,1
BRETAGNE,22197, PLEUDIHEN-SUR-RANCE,48.766667,-3.133333,1,0,0,0,0,4,0,0,0,0,-1,-1,-1,-1,-4,-4,-4,-4
BRETAGNE,22198, PLEUMEUR-BODOU,48.766667,-3.516667,4,5,4,1,1,17,18,6,2,14,1,0,-3,-3,1,-11,-15,-3
BRETAGNE,22209, PLOUBALAY,48.583333,-2.15,1,1,1,2,1,2,1,1,2,1,0,0,1,0,-1,-1,0,-1
BRETAGNE,22214, PLOUEZEC,48.75,-2.983333,1,1,1,1,1,16,4,4,3,3,0,0,0,0,-12,-12,-13,-13
BRETAGNE,22215, PLOUFRAGAN,48.483333,-2.783333,2,4,3,3,4,137,136,125,119,110,2,1,1,2,-1,-12,-18,-27
BRETAGNE,22221, PLOUGUIEL,48.8,-3.233333,1,1,1,1,1,5,5,6,5,7,0,0,0,0,0,1,0,2
BRETAGNE,22225, PLOUMAGOAR,48.55,-3.133333,2,2,2,2,2,106,100,98,89,84,0,0,0,0,-6,-8,-17,-22
BRETAGNE,22226, PLOUMILLIAU,48.683333,-3.516667,1,1,1,1,1,57,57,49,49,49,0,0,0,0,0,-8,-8,-8
BRETAGNE,22232, PLOURHAN,48.416667,-3.55,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
BRETAGNE,22251, PORDIC,48.583333,-2.816667,2,2,2,2,2,10,9,12,8,8,0,0,0,0,-1,2,-2,-2
BRETAGNE,22259, QUEVERT,48.466667,-2.083333,3,4,4,4,5,307,328,309,277,252,1,1,1,2,21,2,-30,-55
BRETAGNE,22265, ROSPEZ,48.733333,-3.383333,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,22266, ROSTRENEN,48.233333,-3.316667,2,2,2,1,1,4,4,3,1,5,0,0,-1,-1,0,-1,-3,1
BRETAGNE,22268, RUCA,48.566667,-2.333333,0,1,1,1,2,0,1,1,1,2,1,1,1,2,1,1,1,2
BRETAGNE,22272, SAINT-AGATHON,48.566667,-3.1,1,1,1,1,2,51,44,32,29,31,0,0,0,1,-7,-19,-22,-20
BRETAGNE,22278, SAINT-BRIEUC,48.516667,-2.783333,21,20,20,19,16,205,192,182,184,157,-1,-1,-2,-5,-13,-23,-21,-48
BRETAGNE,22280, SAINT-CARNE,48.416667,-2.066667,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,4
BRETAGNE,22282, SAINT-CAST-LE-GUILDO,48.633333,-2.266667,1,2,1,1,1,1,5,1,1,1,1,0,0,0,4,0,0,0
BRETAGNE,22310, SAINT-LAURENT,48.233333,-2.383333,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0
BRETAGNE,22325, SAINT-QUAY-PORTRIEUX,48.65,-2.833333,0,0,0,1,1,0,0,0,4,3,0,0,1,1,0,0,4,3
BRETAGNE,22337, SEVIGNAC,48.333333,-2.35,1,0,0,0,0,3,0,0,0,0,-1,-1,-1,-1,-3,-3,-3,-3
BRETAGNE,22339, TADEN,48.483333,-2.016667,4,4,4,3,2,159,160,143,144,122,0,0,-1,-2,1,-16,-15,-37
BRETAGNE,22360, TREGUEUX,48.6,-3.4,10,8,6,7,6,93,81,48,52,56,-2,-4,-3,-4,-12,-45,-41,-37
BRETAGNE,22364, TRELIVAN,48.433333,-2.116667,1,1,1,1,1,29,21,22,25,28,0,0,0,0,-8,-7,-4,-1
BRETAGNE,22372, TREMUSON,48.516667,-2.85,0,0,1,1,2,0,0,1,3,5,0,1,1,2,0,1,3,5
BRETAGNE,22381, TREZENY,48.75,-3.366667,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,22387, VIEUX-MARCHE,48.383333,-3,2,1,1,1,1,3,1,1,1,1,-1,-1,-1,-1,-2,-2,-2,-2
