Region,Code Insee,Communue,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,29006, BENODET,47.866667,-4.116667,1,1,1,2,1,3,4,3,6,4,0,0,1,0,1,0,3,1
BRETAGNE,29019, BREST,48.4,-4.483333,95,95,95,94,98,3854,3757,3608,3630,3540,0,0,-1,3,-97,-246,-224,-314
BRETAGNE,29020, BRIEC,48.1,-4,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,29022, CAMARET-SUR-MER,48.283333,-4.6,2,3,3,3,2,7,7,6,7,4,1,1,1,0,0,-1,0,-3
BRETAGNE,29023, CARANTEC,48.666667,-3.916667,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,29024, CARHAIX-PLOUGUER,48.283333,-3.583333,3,4,3,4,3,17,17,15,13,12,1,0,1,0,0,-2,-4,-5
BRETAGNE,29025, CAST,48.166667,-4.133333,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,29026, CHATEAULIN,48.2,-4.083333,5,4,4,4,4,69,69,65,65,52,-1,-1,-1,-1,0,-4,-4,-17
BRETAGNE,29029, CLEDEN-POHER,48.233333,-3.666667,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
BRETAGNE,29037, COMBRIT,47.883333,-4.15,2,2,2,2,1,11,10,12,12,10,0,0,0,-1,-1,1,1,-1
BRETAGNE,29039, CONCARNEAU,47.866667,-3.916667,10,11,10,9,10,152,150,161,168,156,1,0,-1,0,-2,9,16,4
BRETAGNE,29042, CROZON,48.25,-4.483333,2,2,2,1,1,2,2,2,1,1,0,0,-1,-1,0,0,-1,-1
BRETAGNE,29043, DAOULAS,48.366667,-4.25,1,1,1,1,1,11,13,12,12,13,0,0,0,0,2,1,1,2
BRETAGNE,29044, DINEAULT,48.216667,-4.166667,1,1,1,1,1,44,45,49,52,49,0,0,0,0,1,5,8,5
BRETAGNE,29046, DOUARNENEZ,48.1,-4.333333,8,6,6,5,6,379,233,244,239,39,-2,-2,-3,-2,-146,-135,-140,-340
BRETAGNE,29048, EDERN,48.1,-3.983333,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,29049, ELLIANT,48,-3.883333,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
BRETAGNE,29051, ERGUE-GABERIC,48,-4.033333,6,8,8,8,8,29,35,29,32,39,2,2,2,2,6,0,3,10
BRETAGNE,29053, FAOU,48.3,-4.183333,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
BRETAGNE,29055, FOLGOET,48.566667,-4.333333,2,2,2,3,3,3,5,10,6,10,0,0,1,1,2,7,3,7
BRETAGNE,29057, FORET-FOUESNANT,47.916667,-3.983333,1,1,1,0,0,1,1,1,0,0,0,0,-1,-1,0,0,-1,-1
BRETAGNE,29058, FOUESNANT,47.9,-4.016667,2,1,1,2,2,3,4,4,4,2,-1,-1,0,0,1,1,1,-1
BRETAGNE,29061, GOUESNOU,48.45,-4.466667,2,4,3,3,3,112,117,115,124,118,2,1,1,1,5,3,12,6
BRETAGNE,29069, GUILERS,48.433333,-4.566667,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
BRETAGNE,29071, GUILLIGOMARC'H,47.933333,-3.416667,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
BRETAGNE,29075, GUIPAVAS,48.433333,-4.4,8,9,10,12,12,610,657,733,811,808,1,2,4,4,47,123,201,198
BRETAGNE,29078, HANVEC,48.333333,-4.166667,1,1,1,1,1,9,9,10,9,9,0,0,0,0,0,1,0,0
BRETAGNE,29079, HENVIC,48.633333,-3.933333,1,0,1,1,0,3,0,2,2,0,-1,0,0,-1,-3,-1,-1,-3
BRETAGNE,29101, LANDEDA,48.583333,-4.566667,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,4
BRETAGNE,29103, LANDERNEAU,48.45,-4.25,7,9,9,8,8,27,36,35,31,33,2,2,1,1,9,8,4,6
BRETAGNE,29105, LANDIVISIAU,48.516667,-4.066667,2,2,2,2,2,9,10,10,10,9,0,0,0,0,1,1,1,0
BRETAGNE,29113, LANMEUR,48.483333,-4.75,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1
BRETAGNE,29117, LANNILIS,48.566667,-4.516667,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,29124, LESNEVEN,48.566667,-4.316667,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
