R¨¦gion,Code Insee,Commune,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,35001, ACIGNE,48.133333,-1.533333,4,5,6,6,6,21,27,23,26,23,1,2,2,2,6,2,5,2
BRETAGNE,35006, ARGENTRE-DU-PLESSIS,48.066667,-1.15,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
BRETAGNE,35021, BEAUCE,48.333333,-1.166667,1,1,1,1,1,3,3,3,2,2,0,0,0,0,0,0,-1,-1
BRETAGNE,35023, BEDEE,48.183333,-1.95,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,35024, BETTON,48.183333,-1.65,7,7,6,6,6,58,46,41,52,59,0,-1,-1,-1,-12,-17,-6,1
BRETAGNE,35027, BOISGERVILLY,48.166667,-2.066667,0,0,0,1,1,0,0,0,2,5,0,0,1,1,0,0,2,5
BRETAGNE,35028, BOISTRUDAN,47.966667,-1.4,0,1,0,1,1,0,1,0,2,1,1,0,1,1,1,0,2,1
BRETAGNE,35029, BONNEMAIN,48.466667,-1.766667,1,1,1,1,1,427,434,450,456,469,0,0,0,0,7,23,29,42
BRETAGNE,35032, BOURGBARRE,48,-1.616667,4,4,4,4,3,23,22,20,18,9,0,0,0,-1,-1,-3,-5,-14
BRETAGNE,35033, BOURG-DES-COMPTES,47.933333,-1.75,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
BRETAGNE,35037, BREAL-SOUS-MONTFORT,48.05,-1.866667,1,0,0,0,1,2,0,0,0,2,-1,-1,-1,0,-2,-2,-2,0
BRETAGNE,35039, BRECE,48.116667,-1.483333,2,2,2,3,3,22,27,24,29,31,0,0,1,1,5,2,7,9
BRETAGNE,35047, BRUZ,48.033333,-1.75,14,17,16,17,18,244,231,246,219,242,3,2,3,4,-13,2,-25,-2
BRETAGNE,35049, CANCALE,48.683333,-1.85,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BRETAGNE,35050, CARDROC,48.283333,-1.883333,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,-1
BRETAGNE,35051, CESSON-SEVIGNE,48.125,-1.6,99,94,96,101,106,5564,5395,5186,5897,6057,-5,-3,2,7,-169,-378,333,493
BRETAGNE,35055, CHANTEPIE,48.083333,-1.616667,14,13,13,14,18,204,170,159,171,219,-1,-1,0,4,-34,-45,-33,15
BRETAGNE,35059, CHAPELLE-DES-FOUGERETZ,48.266667,-1.85,0,0,1,2,2,0,0,9,10,18,0,1,2,2,0,9,10,18
BRETAGNE,35060, CHAPELLE-DU-LOU,48.216667,-2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BRETAGNE,35065, CHAPELLE-THOUARAULT,48.133333,-1.866667,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,3
BRETAGNE,35066, CHARTRES-DE-BRETAGNE,48.05,-1.7,2,2,2,2,2,209,178,170,153,153,0,0,0,0,-31,-39,-56,-56
BRETAGNE,35068, CHATEAUBOURG,48.116667,-1.4,5,6,8,8,6,663,624,596,599,600,1,3,3,1,-39,-67,-64,-63
BRETAGNE,35069, CHATEAUGIRON,48.05,-1.5,2,2,1,3,1,4,2,2,6,5,0,-1,1,-1,-2,-2,2,1
BRETAGNE,35076, CHAVAGNE,48.05,-1.783333,2,1,1,1,1,8,3,2,2,2,-1,-1,-1,-1,-5,-6,-6,-6
