R¨¦gion,Insee,Commune,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,56003, ARRADON,48.133333,-1.533333,2,2,2,2,2,17,17,18,19,19,0,0,0,0,0,1,2,2
BRETAGNE,56004, ARZAL,48.133334,-1.533334,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0
BRETAGNE,56005, ARZON,48.133335,-1.533335,1,1,1,1,1,35,37,40,46,49,0,0,0,0,2,5,11,14
BRETAGNE,56007, AURAY,48.133336,-1.533336,8,6,6,5,7,64,60,58,56,55,-2,-2,-3,-1,-4,-6,-8,-9
BRETAGNE,56008, BADEN,48.133337,-1.533337,4,3,3,4,4,8,8,4,6,6,-1,-1,0,0,0,-4,-2,-2
BRETAGNE,56010, BAUD,48.133338,-1.533338,3,1,1,2,2,7,2,2,2,2,-2,-2,-1,-1,-5,-5,-5,-5
BRETAGNE,56012, BEIGNON,48.133339,-1.533339,1,1,1,0,0,1,1,1,0,0,0,0,-1,-1,0,0,-1,-1
BRETAGNE,56018, BILLIERS,48.133340,-1.533340,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,56023, BRECH,48.133341,-1.533341,2,1,1,3,3,3,1,1,6,6,-1,-1,1,1,-2,-2,3,3
BRETAGNE,56034, CARNAC,48.133342,-1.533342,2,3,3,3,3,7,11,6,6,5,1,1,1,1,4,-1,-1,-2
BRETAGNE,56036, CAUDAN,48.133343,-1.533343,5,5,4,3,2,69,68,18,9,7,0,-1,-2,-3,-1,-51,-60,-62
BRETAGNE,56046, CRACH,48.133344,-1.533344,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,56052, DAMGAN,48.133345,-1.533345,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0
BRETAGNE,56053, ELVEN,48.133346,-1.533346,3,3,3,3,1,6,7,8,5,3,0,0,0,-2,1,2,-1,-3
BRETAGNE,56055, ETEL,48.133347,-1.533347,2,2,2,2,2,2,4,8,8,10,0,0,0,0,2,6,6,8
BRETAGNE,56061, GACILLY,48.133348,-1.533348,1,1,1,1,1,36,35,42,40,41,0,0,0,0,-1,6,4,5
BRETAGNE,56063, GESTEL,48.133349,-1.533349,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
BRETAGNE,56066, GOURIN,48.133350,-1.533350,3,3,2,2,2,13,12,10,10,11,0,-1,-1,-1,-1,-3,-3,-2
BRETAGNE,56067, GRAND-CHAMP,48.133351,-1.533351,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0
BRETAGNE,56069, GROIX,48.133352,-1.533352,2,1,1,1,1,4,2,2,1,2,-1,-1,-1,-1,-2,-2,-3,-2
BRETAGNE,56073, GUEMENE-SUR-SCORFF,48.133353,-1.533353,1,1,0,0,0,2,2,0,0,0,0,-1,-1,-1,0,-2,-2,-2
BRETAGNE,56075, GUER,48.133354,-1.533354,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,2
BRETAGNE,56078, GUIDEL,48.133355,-1.533355,2,2,3,3,2,94,82,82,75,77,0,1,1,0,-12,-12,-19,-17
BRETAGNE,56083, HENNEBONT,48.133356,-1.533356,2,2,1,2,5,76,75,73,68,66,0,-1,0,3,-1,-3,-8,-10
BRETAGNE,56084, HEZO,48.133357,-1.533357,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
BRETAGNE,56087, ILE-AUX-MOINES,48.133358,-1.533358,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BRETAGNE,56090, INZINZAC-LOCHRIST,48.133359,-1.533359,1,1,1,2,2,3,3,2,5,6,0,0,1,1,0,-1,2,3
BRETAGNE,56091, JOSSELIN,48.133360,-1.533360,1,1,1,2,2,1,1,1,2,4,0,0,1,1,0,0,1,3
BRETAGNE,56094, KERVIGNAC,48.133361,-1.533361,2,1,1,1,1,147,108,113,102,104,-1,-1,-1,-1,-39,-34,-45,-43
BRETAGNE,56098, LANESTER,48.133362,-1.533362,6,7,6,7,7,739,660,594,572,562,1,0,1,1,-79,-145,-167,-177
BRETAGNE,56101, LANGUIDIC,48.133363,-1.533363,1,2,2,1,1,1,2,3,1,1,1,1,0,0,1,2,0,0
BRETAGNE,56107, LARMOR-PLAGE,48.133364,-1.533364,11,11,10,9,9,213,222,224,231,258,0,-1,-2,-2,9,11,18,45
BRETAGNE,56117, LOCMINE,48.133365,-1.533365,1,2,2,2,2,1,3,4,4,3,1,1,1,1,2,3,3,2
BRETAGNE,56118, LOCMIQUELIC,48.133366,-1.533366,1,0,0,1,0,2,0,0,2,0,-1,-1,0,-1,-2,-2,0,-2
BRETAGNE,56121, LORIENT,48.133367,-1.533367,31,32,34,33,34,294,283,274,279,307,1,3,2,3,-11,-20,-15,13
BRETAGNE,56124, MALESTROIT,48.133368,-1.533368,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1
BRETAGNE,56127, MAURON,48.133369,-1.533369,1,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2
BRETAGNE,56131, MESLAN,48.133370,-1.533370,0,0,0,1,1,0,0,0,13,4,0,0,1,1,0,0,13,4
BRETAGNE,56143, MUZILLAC,48.133371,-1.533371,1,1,1,1,1,3,2,1,2,1,0,0,0,0,-1,-2,-1,-2
BRETAGNE,56152, PALAIS,48.133372,-1.533372,2,2,2,2,2,2,2,3,2,3,0,0,0,0,0,1,0,1
BRETAGNE,56158, PLESCOP,48.133373,-1.533373,3,4,3,4,4,36,21,19,25,25,1,0,1,1,-15,-17,-11,-11
BRETAGNE,56161, PLOEMEL,48.133374,-1.533374,0,1,1,1,1,0,2,2,2,3,1,1,1,1,2,2,2,3
BRETAGNE,56162, PLOEMEUR,48.133375,-1.533375,7,7,6,7,7,37,34,35,21,26,0,-1,0,0,-3,-2,-16,-11
BRETAGNE,56164, PLOEREN,48.133376,-1.533376,1,1,1,0,0,3,1,4,0,0,0,0,-1,-1,-2,1,-3,-3
BRETAGNE,56165, PLOERMEL,48.133377,-1.533377,5,6,6,5,4,24,21,19,17,13,1,1,0,-1,-3,-5,-7,-11
BRETAGNE,56167, PLOUGOUMELEN,48.133378,-1.533378,2,2,2,1,1,17,14,11,1,1,0,0,-1,-1,-3,-6,-16,-16
BRETAGNE,56169, PLOUHINEC,48.133379,-1.533379,0,1,1,1,1,0,1,2,2,3,1,1,1,1,1,2,2,3
BRETAGNE,56172, PLUMELEC,48.133380,-1.533380,1,1,1,1,1,9,8,6,9,9,0,0,0,0,-1,-3,0,0
BRETAGNE,56175, PLUMERGAT,48.133381,-1.533381,1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
BRETAGNE,56177, PLUVIGNER,48.133382,-1.533382,0,0,1,2,2,0,0,2,2,2,0,1,2,2,0,2,2,2
BRETAGNE,56178, PONTIVY,48.133383,-1.533383,4,4,4,4,4,62,52,46,42,32,0,0,0,0,-10,-16,-20,-30
BRETAGNE,56184, QUESTEMBERT,48.133384,-1.533384,3,3,4,4,4,49,47,56,60,57,0,1,1,1,-2,7,11,8
BRETAGNE,56185, QUEVEN,48.133385,-1.533385,4,4,4,5,5,96,104,112,128,137,0,0,1,1,8,16,32,41
BRETAGNE,56186, QUIBERON,48.133386,-1.533386,0,0,0,0,1,0,0,0,0,14,0,0,0,1,0,0,0,14
BRETAGNE,56201, SAINT,48.133387,-1.533387,1,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2
BRETAGNE,56206, SAINT-AVE,48.133388,-1.533388,2,2,2,2,2,20,16,17,15,16,0,0,0,0,-4,-3,-5,-4
BRETAGNE,56214, SAINT-GILDAS-DE-RHUYS,48.133389,-1.533389,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0
BRETAGNE,56232, SAINT-PERREUX,48.133390,-1.533390,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
BRETAGNE,56236, SAINT-SERVANT,48.133391,-1.533391,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2
BRETAGNE,56239, SAINT-VINCENT-SUR-OUST,48.133392,-1.533392,1,1,1,1,1,4,4,4,4,3,0,0,0,0,0,0,0,-1
BRETAGNE,56240, SARZEAU,48.133393,-1.533393,2,1,1,1,1,3,1,1,1,2,-1,-1,-1,-1,-2,-2,-2,-1
BRETAGNE,56241, SAUZON,48.133394,-1.533394,1,0,0,0,0,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2
BRETAGNE,56243, SENE,48.133395,-1.533395,2,3,3,4,4,7,24,31,30,23,1,1,2,2,17,24,23,16
BRETAGNE,56244, SERENT,48.133396,-1.533396,1,1,1,1,1,1,1,2,3,4,0,0,0,0,0,1,2,3
BRETAGNE,56251, THEIX,48.133397,-1.533397,3,3,3,3,3,44,42,73,76,82,0,0,0,0,-2,29,32,38
BRETAGNE,56258, TRINITE-SUR-MER,48.133398,-1.533398,5,5,5,5,4,57,62,62,60,61,0,0,0,-1,5,5,3,4
BRETAGNE,56259, TRINITE-SURZUR,48.133399,-1.533399,2,1,1,1,1,5,4,4,3,3,-1,-1,-1,-1,-1,-1,-2,-2
BRETAGNE,56260, VANNES,48.133400,-1.533400,41,38,40,44,44,778,781,804,835,868,-3,-1,3,3,3,26,57,90
,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,199,193,193,204,205,3115,2958,2913,2918,3008,,,,,,,,
